type,video,animal,xend,yend
se,1,1,1593.7,899.66
se,1,2,2614.1,1484.8
se,1,3,2530.1,1411.9
se,1,4,271.62,1493.7
se,1,5,2526.7,1253.3
se,2,1,2650.5,1483.8
se,2,2,2586.6,1343.7
se,2,3,2553,1449.7
se,2,4,2590.2,1147.4
se,2,5,1457.6,1457.6
se,3,1,978.35,1218.5
se,3,2,2126.5,1024.7
se,3,3,1114.6,1300.5
se,3,4,1433.5,918.13
se,4,1,1411.9,1144.6
se,4,2,2471.8,1218.2
se,4,3,2553,1246
se,4,4,2559.6,1487
se,4,5,2388.4,1283.3
se,5,1,2589.5,1558.1
se,5,2,2661.2,1838.2
se,5,3,2733.2,1298.5
se,5,4,2604.4,1428.4
se,6,1,2556.2,1491.9
se,6,2,2550.9,1533.6
se,6,3,2520.8,1428.4
se,6,4,2645.7,1693
se,6,5,400.82,664.42
se,6,6,2618.9,1645.5
se,6,7,320.05,703.33
se,6,8,2618.7,1743.3
se,7,1,941.17,2547.9
se,7,2,2266.4,1393.5
se,7,3,2607.2,953.31
se,7,4,1405,1128.3
se,7,5,1254.5,170.88
se,7,6,2557.3,1182.6
sd,8,1,2595.2,1563.9
sd,8,2,2572.3,1578.5
sd,8,3,1258.5,1442.2
sd,8,4,1271.3,1327.7
sd,8,5,2616.8,1474.6
sd,8,6,2620.7,1539.6
sd,9,1,1531.2,1734.7
sd,9,2,2545,1177.7
sd,9,3,2619.8,1341.7
sd,9,4,1191.1,1327.9
sd,9,5,1403.1,1241.1
sd,9,6,631.6,2062
sd,10,1,1822.8,1515.8
sd,10,2,2542.9,2160.9
sd,10,3,1758.7,1751.3
sd,10,4,1690.8,1424.5
sd,10,5,1542.4,2559.3
sd,11,1,2596.8,970.67
sd,11,2,306.42,2019.8
sd,11,3,780.36,2501.9
sd,11,4,2036.5,1382.8
sd,11,5,2459,651.34
sd,11,6,2591.6,915.02
sd,11,7,588.11,2040.2
sd,11,8,624.41,450.9
sd,12,1,1310.2,1248.1
sd,12,2,1354.4,1349.4
sd,12,3,1529.2,1401.7
sd,12,4,1151.7,1659.9
sd,12,5,1445.9,1423.6
sd,13,1,2356.8,1342.5
sd,13,2,1226.6,1308.9
sd,13,3,1564.1,1158.7
sd,13,4,1643.9,745.07
sd,13,5,1040.6,1406.7
sd,13,6,1074.2,1909.1
sd,13,7,1071.1,1424.2
sd,13,8,1232.9,1174.5
ne,14,1,2327.3,1276.5
ne,14,2,986.56,1977.6
ne,14,3,2471,1904.2
ne,14,4,922.45,2465.2
ne,14,5,2455,1924.1
ne,14,6,2472,1905.7
ne,14,7,1712.7,2603.7
ne,14,8,1209,1205.7
ne,15,1,2700,1673.7
ne,15,2,2693.3,1588.3
ne,15,3,2700.6,1478.1
ne,15,4,2695.1,1333.5
ne,16,1,2614.6,982.12
ne,16,2,2525.4,1516.1
ne,16,3,2680.3,1343.1
ne,16,4,2548.6,1509.2
ne,16,5,2558.3,1361.8
ne,17,1,1364.9,1194.5
ne,17,2,2284.9,842.96
ne,17,3,1120.4,156.57
ne,17,4,1599.7,1222
ne,17,5,1487.2,1180.9
ne,17,6,632.56,2142
ne,17,7,1541.8,1338.8
ne,18,1,2602.6,1172.5
ne,18,2,2583.4,1241
ne,18,3,1419.4,1528.2
ne,18,4,2501.8,1353.1
ne,18,5,1690.2,1530.9
ne,18,6,2386.5,1342.1
ne,18,7,1588.1,1221.6
ne,18,8,2502.6,1359.3
ne,18,9,2522.3,1306.4
ne,18,10,2434.8,1262.3
ne,19,1,1216.3,1530
ne,19,2,2644.9,1241.4
ne,19,3,2637,1223.9
ne,19,4,2609.6,1275.2
ne,19,5,2609.1,1319.8
ne,19,6,2057.8,1579.3
ne,19,7,2665.1,1152.8
ne,20,1,2643.3,1714.9
ne,20,2,1713.3,212.97
ne,20,3,479.46,518.5
ne,20,4,2524.1,1565.3
ne,20,5,2627.7,1317.4
ne,20,6,1566.6,1774.3
nd,21,1,1107.5,367.41
nd,21,2,1549.2,1040.9
nd,21,3,1174.2,1212.4
nd,21,4,1432.6,1755.9
nd,21,5,987.11,1448.3
nd,21,6,2198.1,1493
nd,22,1,1791.7,1363.5
nd,22,2,1574.4,510.04
nd,22,3,1543.8,1354.9
nd,22,4,1521.5,1208.4
nd,22,5,1514.9,1341.5
nd,23,1,1292,984.32
nd,23,2,1266.5,1356.8
nd,23,3,1296.4,982.73
nd,23,4,1123.2,972.33
nd,23,5,1294,988.35
nd,23,6,1228.1,1470.8
nd,23,7,1469.4,1502.8
nd,24,1,2622.9,1323.3
nd,24,2,1622,1095.5
nd,24,3,1408.3,1261.8
nd,24,4,1511,1724.2
nd,24,5,1610.2,1288.7
nd,24,6,1634.9,1459.4
nd,24,7,1556.7,1016.8
nd,25,1,1028,2243.7
nd,25,2,1130.5,1454.6
nd,25,3,1266.1,1439.1
nd,25,4,1750.1,1356.6
nd,25,5,1102.4,887.64
nd,25,6,1250.1,1388.4
nd,26,1,2276.5,1790.8
nd,26,2,868.29,1543.3
nd,26,3,1781.1,942.81
nd,26,4,1585.3,1757.6
nd,26,5,865.14,1501.6
nd,26,6,1494.3,1496.6
nd,26,7,2520,1383
nd,26,8,1501.5,1788.9